name,location
해변의 에트랑제,책장 8-11
신체찾기 1~17권(완),책장 5-3
아이즈1~12권 IS,책장 7-8
"여친, 빌리겠습니다 1~33권",책장 7-9
"종말의 세라프 이치노세 구렌, 16세의 파멸 1~12권(완)",책장 1-2
종말의 발키리 1~18권,책장 1-2
오버로드 1~17권,책장 1-2
블랙클로버 1~32권,책장 1-3
신피니티 1~3권(완),책장 5-7
고깔모자의 아틀리에 1~13권,책장 1-5
늑대 아이 1~3권(완),책장 4-2
믹스 1~21권,책장 2-2
도쿄 리벤져스 바지케이스케로부터의편지 1~4권,책장 7-1
아인 1~17권(완),책장 1-2
쿠로코의 농구 1~30완,책장 2-1
소울이터 1~25완,책장 1-1
나와 마녀의 시간 1~6완,책장 3-1
손끝과 연연 1~10권,책장 8-12
하나노이 군과 상사병 1~14권,책장 8-13
요자쿠라 일가의 대작전 1~17권,책장 1-4
음침 갸루라도 멋있어지고 싶어 1,책장 7-7
옆자리 괴물군 1~13권(완),책장 8-14
"사랑하라, 거짓된 천사들이여 1~2권",책장 8-12
불가항력의 I LOVE YOU 1~3권,책장 8-12
타이거&드래곤 1~4권,책장 8-12
봄의 폭풍과 몬스터 1~5권,책장 8-12
길고양이와 늑대 1~4권,책장 8-12
핑크와 하바네로 1~9권,책장 8-12
향기로운 꽃은 늠름하게 핀다 1~11권,책장 7-8
Re: 제로부터 시작하는 이세계 생활 1~21권(1장~4장),책장 1-4
마녀와 야수 1~10,책장 1-1
언니의 미도리 군 1~6권,책장 8-12
고양이와 키스 1~6권(완),책장 8-12
아오노 군에게 닿고 싶으니까 죽고 싶어 1~12권,책장 7-8
야노 군의 평범한 나날 1~7권,책장 7-7
드래곤 퀘스트 다이의 대모험 1~6권,책장 7-7
겁쟁이 페달 SPIKE BIKE 1~12권,책장 2-3
언데드 언럭 1~21,책장 1-1
둘이서 사랑을 하는 이유 1~8권,책장 8-12
마도정병의 슬레이브 1~15권,책장 1-4
꿈빛 파티시엘 1~12권(완),책장 8-14
봄과 폭풍 1~2권(완),책장 8-12
청춘벽력 1~4권,책장 8-12
